date,total_events,new_repos,python_repos
2020-12-31,305449,78004,0
2021-01-01,214067,67237,0
2021-01-02,234226,83385,0
2021-01-03,258569,92840,0
2021-01-04,382057,117567,0
2021-01-05,792269,109306,0
2021-01-06,686906,113879,0
2021-01-07,356440,106358,0
2021-01-08,342188,105916,0
2021-01-09,258781,90594,0
2021-01-10,265800,93456,0
2021-01-11,396921,117866,0
2021-01-12,394351,120321,0
2021-01-13,390712,118524,0
2021-01-14,404041,115892,0
2021-01-15,356123,108274,0
2021-01-16,284199,96049,0
2021-01-17,273017,95844,0
2021-01-18,401215,118123,0
2021-01-19,424478,126936,0
2021-01-20,436654,123413,0
2021-01-21,524633,121476,0
2021-01-22,371260,118461,0
2021-01-23,286482,98709,0
2021-01-24,285090,98114,0
2021-01-25,417217,125401,0
2021-01-26,396243,127816,0
2021-01-27,409558,137866,0
2021-01-28,463095,156054,0
2021-01-29,381691,114521,0
2021-01-30,285081,100762,0
2021-01-31,292713,99371,0
2021-02-01,429739,121697,0
2021-02-02,501510,128050,0
2021-02-03,412392,121001,0
2021-02-04,416819,122795,0
2021-02-05,375262,112486,0
2021-02-06,277487,97024,0
2021-02-07,285612,100294,0
2021-02-08,410885,116377,0
2021-02-09,403487,121410,0
2021-02-10,410859,119586,0
2021-02-11,378708,112073,0
2021-02-12,352411,104306,0
2021-02-13,271881,96226,0
2021-02-14,265938,93835,0
2021-02-15,407951,119947,0
2021-02-16,414012,123989,0
2021-02-17,390529,124467,0
2021-02-18,410852,119361,0
2021-02-19,387068,114818,0
2021-02-20,288182,101905,0
2021-02-21,283860,100303,0
2021-02-22,447861,128098,0
2021-02-23,456695,133009,0
2021-02-24,430950,129809,0
2021-02-25,412095,127925,0
2021-02-26,389051,116894,0
2021-02-27,288882,101632,0
2021-02-28,289822,103270,0
2021-03-01,446084,120122,0
2021-03-02,417546,126162,0
2021-03-03,530586,131257,0
2021-03-04,419269,128269,0
2021-03-05,389215,118841,0
2021-03-06,289261,101670,0
2021-03-07,299779,103422,0
2021-03-08,470561,122060,0
2021-03-09,166511,26835,0
2021-03-10,181481,18503,0
2021-03-11,644877,136083,0
2021-03-12,481105,148303,0
2021-03-13,317629,115283,0
2021-03-14,307654,116918,0
2021-03-15,463993,144113,0
2021-03-16,446164,144988,0
2021-03-17,435894,141026,0
2021-03-18,482202,137143,0
2021-03-19,577711,124329,0
2021-03-20,462990,111865,0
2021-03-21,322081,114576,0
2021-03-22,465051,143588,0
2021-03-23,451644,143962,0
2021-03-24,460996,142331,0
2021-03-25,465961,136983,0
2021-03-26,420752,131013,0
2021-03-27,296372,109133,0
2021-03-28,298288,109976,0
2021-03-29,533822,134730,0
2021-03-30,674007,107068,0
2021-03-31,1071266,100145,0
2021-04-01,771580,127503,0
2021-04-02,362193,116837,0
2021-04-03,288356,105641,0
2021-04-04,289044,102495,0
2021-04-05,416385,129940,0
2021-04-06,446459,140469,0
2021-04-07,467394,139519,0
2021-04-08,414947,125400,0
2021-04-09,407415,128813,0
2021-04-10,308029,111620,0
2021-04-11,313538,113571,0
2021-04-12,462114,139218,0
2021-04-13,434977,135726,0
2021-04-14,421276,134065,0
2021-04-15,431325,134444,0
