date,total_events,new_repos
2022-04-06,520012,155847
2022-04-07,486006,152737
2022-04-08,484818,147982
2022-04-09,697793,123740
2022-04-10,374299,128589
2022-04-11,518925,143981
2022-04-12,688780,134429
2022-04-13,472743,147852
2022-04-14,418171,130056
2022-04-15,416874,133298
2022-04-16,314723,118063
2022-04-17,328748,119312
2022-04-18,501801,154037
2022-04-19,508140,160435
2022-04-20,493071,154972
2022-04-21,476335,150446
2022-04-22,500353,141127
2022-04-23,373795,120011
2022-04-24,344800,123913
2022-04-25,526009,151865
2022-04-26,494462,154133
2022-04-27,508392,151049
2022-04-28,522608,145741
2022-04-29,1130490,124972
2022-04-30,312422,116643
2022-05-01,371008,115789
2022-05-02,505646,140874
2022-05-03,462933,142875
2022-05-04,445132,142934
2022-05-05,457198,142232
2022-05-06,409260,126105
2022-05-07,338390,123557
2022-05-08,329980,122403
2022-05-09,482607,144111
2022-05-10,470627,151792
2022-05-11,478301,151175
2022-05-12,462623,149938
2022-05-13,460576,142131
2022-05-14,339325,122274
2022-05-15,346331,126002
2022-05-16,521139,144798
2022-05-17,496392,154199
2022-05-18,490987,147459
2022-05-19,488350,139537
2022-05-20,524278,147855
2022-05-21,340580,124868
2022-05-22,344208,127600
2022-05-23,512638,151979
2022-05-24,481381,150451
2022-05-25,571823,142331
2022-05-26,494243,149462
2022-05-27,462526,146145
2022-05-28,339668,125366
2022-05-29,346153,128272
2022-05-30,516334,157607
2022-05-31,430573,137926
2022-06-01,1164040,112899
2022-06-02,628494,137086
2022-06-03,680927,139700
2022-06-04,343907,125017
2022-06-05,351179,127258
2022-06-06,525336,143974
2022-06-07,470858,143045
2022-06-08,463751,144991
2022-06-09,433024,137021
2022-06-10,501310,137289
2022-06-11,335288,121706
2022-06-12,336665,122112
2022-06-13,460106,135081
2022-06-14,457172,143287
2022-06-15,459137,142297
2022-06-16,429665,135826
2022-06-17,614638,139176
2022-06-18,375300,121613
2022-06-19,394258,122496
2022-06-20,512711,136840
2022-06-21,690856,136279
2022-06-22,700160,132036
2022-06-23,615200,135808
2022-06-24,468491,131413
2022-06-25,403153,119020
2022-06-26,336475,120675
2022-06-27,514514,130581
2022-06-28,453399,137250
2022-06-29,455436,135764
2022-06-30,454168,137225
2022-07-01,466472,129639
2022-07-02,331014,117555
2022-07-03,346426,123903
2022-07-04,501951,140007
2022-07-05,453565,142118
2022-07-06,619985,132968
2022-07-07,580740,116384
2022-07-08,465739,127673
2022-07-09,334528,111592
2022-07-10,334254,112025
2022-07-11,456409,129917
2022-07-12,439454,135487
2022-07-13,445046,133845
2022-07-14,455363,132368
2022-07-15,504694,132450
2022-07-16,369811,121244
2022-07-17,356516,121891
2022-07-18,586182,135005
2022-07-19,478662,146385
2022-07-20,826636,137341
2022-07-21,831190,154366
2022-07-22,814312,142969
2022-07-23,369978,122435
2022-07-24,368509,123212
2022-07-25,571873,158009
2022-07-26,550930,163985
